BRANDS,TOTAL_VOLUME
jc authentic,164.01487686205647
three olives vodka,100.10193729912854
1800 tequila,77.27171841403465
jc especial,47.55386415449901
1800 ult margarita,39.43939935974768
ron matusalem,30.964929931331408
jc sparkling,28.56991673540321
kraken rum,22.262152827344824
jc tradicional,21.704405342694344
maestro dobel,16.16718882881101
hangar 1,11.031661428976774
jc mix,10.464767232071582
gran centenario,8.671533319167755
pendleton whisky,7.694105668459069
bushmills malts,6.272421796340451
400 conejos,5.424127976875735
jc golden margarita,4.235789926256958
jc reserva,3.8832160462625063
boodles gin,3.604424830060437
gran coramino,3.5554819954559056
jc playamar,3.4802478966302948
proper no. twelve,3.3796346718445345
bushmills,3.150028494186684
stranahans,3.062078500166515
tincup,2.6729464423842555
agavero,1.8432439775206018
old camp whiskey,1.6107217404059935
great jones,1.3561368621885674
creyente,1.3205971522256639
jaja,1.2344210720620978
kraken rtd,1.0891411178745263
sexton,1.0179449794813946
bentwing brandy,0.9501271406188578
black dirt,0.7524739056825552
jc matador,0.6570307323709078
owneys rum,0.5239231516607075
wolf moon,0.5158881214447278
jc caleta,0.4960024766623924
jc devils reserve,0.4643586408346855
jc 250 aniversario,0.4172569983638789
virginia black,0.2394204712472826
lola belle,0.1959253000095474
birdwells vodka,0.192421930376439
zarco,0.1658408283255984
kraken ginger beer,0.1251473641023029
